                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.79134,                0.92265,                0.76099,                0.94035,                0.69418,                 0.6465,                0.68574,                0.52311,                0.69732,                0.65188,                 0.6845,                0.45579,                 1.0077,                 1.4753,                 1.5812,                 1.0919,              0.0014064,              0.0014064,              0.0014064
                     83,                0.77305,                 1.0129,                0.79788,                 0.9195,                 0.7088,                0.63773,                0.69744,                  0.526,                0.70934,                0.64611,                0.69138,                 0.4535,                 1.0035,                  1.466,                 1.6371,                 1.0913,              0.0014061,              0.0014061,              0.0014061
                     84,                0.81463,                 0.9739,                0.81413,                0.92861,                0.69887,                0.65171,                0.72681,                0.54727,                0.68571,                0.67127,                0.72877,                0.46787,                0.99377,                 1.5006,                 1.6578,                 1.0852,              0.0014058,              0.0014058,              0.0014058
                     85,                0.75707,                0.97755,                0.77314,                0.91142,                0.71209,                0.67191,                0.78382,                 0.5963,                0.73862,                 0.6959,                0.79797,                 0.5327,                0.95437,                 1.3636,                 1.4972,                 1.0535,              0.0014055,              0.0014055,              0.0014055
                     86,                0.78831,                0.93641,                0.80566,                0.92582,                0.79614,                0.76979,                0.84545,                0.63581,                0.78664,                 0.7891,                0.86638,                0.60394,                0.93717,                 1.2005,                 1.2914,                 1.0378,              0.0014052,              0.0014052,              0.0014052
                     87,                0.78749,                 1.0593,                0.77003,                0.92137,                0.86475,                0.80645,                0.87255,                0.66526,                 0.8707,                0.81183,                0.88398,                0.62287,                0.86304,                 1.0862,                 1.1078,                  1.004,              0.0014049,              0.0014049,              0.0014049
                     88,                0.77043,                0.98588,                0.77462,                0.92099,                0.87781,                0.81701,                 0.8916,                0.68816,                0.87504,                0.82258,                 0.8912,                0.64025,                0.78395,                 1.0425,                0.95298,                0.95375,              0.0014047,              0.0014047,              0.0014047
                     89,                 0.8285,                 1.0038,                 0.7712,                0.92834,                0.89264,                0.77957,                0.89994,                0.70029,                0.89264,                0.77957,                0.89208,                0.63695,                0.79544,                 1.1335,                0.94119,                0.93907,              0.0014044,              0.0014044,              0.0014044
                     90,                0.82101,                0.98697,                0.77877,                0.91254,                0.85533,                0.84071,                 0.9153,                0.71364,                0.85387,                0.84399,                 0.9079,                 0.6477,                0.79473,                 1.1109,                0.92484,                0.93323,              0.0014041,              0.0014041,              0.0014041
                     91,                0.82786,                0.96916,                0.85118,                0.94759,                0.89434,                0.83871,                0.93682,                0.74131,                0.89434,                0.83871,                0.92853,                0.67947,                0.75028,                 1.0432,                0.88917,                 0.9145,              0.0014038,              0.0014038,              0.0014038
                     92,                 0.7751,                0.91101,                0.75407,                0.90757,                0.88926,                0.90777,                0.94314,                 0.7515,                0.88427,                0.90239,                0.93701,                0.67427,                0.75229,                 1.0144,                 0.8867,                0.92451,              0.0014035,              0.0014035,              0.0014035
                     93,                0.76729,                0.89162,                0.75357,                0.88553,                 0.8914,                0.88984,                0.93618,                0.75966,                0.88018,                0.87909,                0.92405,                 0.6705,                0.74222,                 1.0375,                0.88186,                0.92944,              0.0014033,              0.0014033,              0.0014033
