                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 2.4825,                 2.8809,                 1.5903,                0.92192,                0.41963,                0.11237,                0.16337,                0.05329,                0.38725,                0.10586,                0.13496,                0.04263,                 2.7435,                 4.5406,                 2.4461,                 0.9716,              0.0015553,              0.0015553,              0.0015553
                     81,                 2.6183,                 2.7787,                 1.6983,                0.91978,                0.41963,                0.11237,                0.16337,                0.05329,                0.38725,                0.10586,                0.13496,                0.04263,                 2.7435,                 4.5406,                 2.4461,                 0.9716,              0.0015747,              0.0015747,              0.0015747
                     82,                 2.4325,                 2.3637,                 1.6021,                0.92321,                0.50484,                0.09645,                 0.1616,                0.05144,                0.46337,                0.09685,                0.15752,                0.04705,                 2.7218,                  4.449,                 2.5435,                0.95633,               0.001594,               0.001594,               0.001594
                     83,                 2.4467,                 2.8236,                 1.5278,                0.87223,                0.50484,                0.09645,                 0.1616,                0.05144,                0.46337,                0.09685,                0.15752,                0.04705,                 2.7218,                  4.449,                 2.5435,                0.95633,              0.0016134,              0.0016134,              0.0016134
                     84,                 2.8993,                 3.1238,                 1.7462,                0.89938,                0.38264,                0.16216,                0.15639,                0.04846,                0.37449,                0.12001,                0.13179,                 0.0361,                 2.6889,                 4.5353,                 2.6125,                0.94601,              0.0016327,              0.0016327,              0.0016327
                     85,                 2.4899,                 2.9149,                 1.7732,                0.91277,                0.38264,                0.16216,                0.15639,                0.04846,                0.37449,                0.12001,                0.13179,                 0.0361,                 2.6889,                 4.5353,                 2.6125,                0.94601,              0.0016521,              0.0016521,              0.0016521
                     86,                 2.4191,                 2.6111,                  1.661,                0.87818,                0.51104,                0.18919,                0.20557,                 0.0643,                 0.3393,                0.11036,                0.09818,                0.02255,                 2.6584,                 4.1605,                  2.576,                0.94643,              0.0016714,              0.0016714,              0.0016714
                     87,                 2.4094,                  2.486,                 1.6272,                0.92909,                0.51104,                0.18919,                0.20557,                 0.0643,                 0.3393,                0.11036,                0.09818,                0.02255,                 2.6584,                 4.1605,                  2.576,                0.94643,              0.0016907,              0.0016907,              0.0016907
                     88,                 2.5203,                 2.5025,                 1.5786,                0.86206,                 0.5612,                0.11712,                0.21291,                0.06681,                 0.2806,                0.05856,                 0.0718,                0.01747,                 2.6623,                 4.4997,                 2.5328,                0.95223,                0.00171,                0.00171,                0.00171
                     89,                  2.555,                 2.8515,                 1.5812,                0.93916,                 0.5612,                0.11712,                0.21291,                0.06681,                 0.2806,                0.05856,                 0.0718,                0.01747,                 2.6623,                 4.4997,                 2.5328,                0.95223,              0.0017293,              0.0017293,              0.0017293
                     90,                 2.5592,                 2.7827,                   1.55,                0.89205,                0.60265,                0.12162,                0.20487,                0.06352,                0.31271,                0.06081,                0.07736,                0.01949,                  2.639,                 5.7602,                  2.553,                0.94828,              0.0017486,              0.0017486,              0.0017486
                     91,                 2.4388,                 2.6219,                 1.6062,                0.90532,                0.60265,                0.12162,                0.20487,                0.06352,                0.31271,                0.06081,                0.07736,                0.01949,                  2.639,                 5.7602,                  2.553,                0.94828,              0.0017679,              0.0017679,              0.0017679
                     92,                 2.5428,                 2.9061,                 1.6502,                0.89899,                0.53004,                0.11937,                0.18585,                0.05456,                 0.3282,                0.07152,                0.09762,                0.02617,                 2.7471,                 7.8647,                 2.5908,                0.95242,              0.0017872,              0.0017872,              0.0017872
                     93,                 2.5975,                 2.8484,                 1.7074,                0.93266,                0.53004,                0.11937,                0.18585,                0.05456,                 0.3282,                0.07152,                0.09762,                0.02617,                 2.7471,                 7.8647,                 2.5908,                0.95242,              0.0018065,              0.0018065,              0.0018065
