                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.1607,                 1.1072,                0.94691,                 1.1139,                0.82358,                0.48333,                 0.6129,                0.39083,                0.79243,                0.46667,                 0.5429,                0.33784,                 1.1948,                 2.6123,                 2.1418,                 1.3628,              0.0019778,              0.0019778,              0.0019778
                     59,                 1.0212,                 1.2813,                0.88397,                 1.0469,                0.70016,                0.51667,                0.62772,                 0.4464,                0.70016,                0.51667,                0.61807,                0.39195,                 1.1204,                 2.1612,                 1.9588,                 1.2727,              0.0019774,              0.0019774,              0.0019774
                     60,                  1.079,                 1.1068,                0.86593,                 1.0437,                 0.7795,                0.64816,                0.72817,                0.53576,                 0.7795,                0.64816,                0.72018,                0.43225,                 1.0258,                 2.0738,                  1.724,                 1.1855,               0.001977,               0.001977,               0.001977
                     61,                0.89397,                0.96723,                0.77556,                0.99737,                0.91018,                   0.75,                0.86509,                0.61761,                0.91018,                   0.75,                0.85959,                0.50013,                 1.0967,                 1.9743,                 1.4801,                 1.2209,              0.0019766,              0.0019766,              0.0019766
                     62,                0.96527,                 1.0242,                 0.7801,                 1.0297,                0.92985,                0.81667,                0.90971,                0.62393,                0.92985,                0.81667,                0.88886,                0.56133,                 1.1405,                 1.7813,                 1.2849,                 1.2619,              0.0019762,              0.0019762,              0.0019762
                     63,                0.91471,                 1.2085,                0.75959,                 1.0233,                0.80926,                0.88333,                0.90674,                0.59215,                0.79321,                0.86667,                0.86577,                0.47846,                  1.205,                 2.3391,                 1.3451,                 1.3007,              0.0019758,              0.0019758,              0.0019758
                     64,                0.94792,                 1.1464,                 0.8109,                 1.0142,                0.93679,                0.78333,                0.88431,                0.57142,                0.91686,                0.76667,                0.84997,                0.44606,                  1.211,                 2.3636,                 1.4419,                 1.2668,              0.0019754,              0.0019754,              0.0019754
                     65,                 1.0044,                 1.2583,                0.87455,                 1.0542,                0.91153,                0.68698,                 0.8429,                0.58399,                0.91153,                0.68698,                0.84541,                0.46519,                  1.167,                  2.263,                 1.4865,                 1.2557,              0.0019751,              0.0019751,              0.0019751
                     66,                0.94329,                0.93751,                0.75387,                 1.0297,                0.80387,                   0.65,                0.73406,                0.46624,                0.74135,                0.62107,                0.70503,                0.35167,                 1.3071,                 2.4919,                  1.679,                 1.3325,              0.0019747,              0.0019747,              0.0019747
                     67,                0.96065,                 1.2511,                0.78029,                 1.0015,                0.67257,                0.58333,                0.61732,                0.36107,                0.62406,                0.58333,                0.63312,                  0.269,                 1.3963,                 3.1236,                 1.8738,                 1.4066,              0.0019743,              0.0019743,              0.0019743
                     68,                0.83723,                0.98415,                0.70108,                0.95581,                0.69198,                0.44932,                0.59016,                0.32409,                0.60679,                0.41667,                0.51024,                0.21081,                 1.4565,                 3.7152,                 1.8544,                 1.4637,              0.0019739,              0.0019739,              0.0019739
                     69,                0.83975,                 1.1172,                0.72146,                0.97201,                0.71056,                0.48333,                 0.6379,                0.37865,                0.61888,                0.46667,                0.55951,                0.23655,                 1.3632,                 3.6852,                 1.7655,                 1.3978,              0.0019735,              0.0019735,              0.0019735
                     70,                0.86796,                 1.0215,                0.71886,                0.98876,                0.61421,                0.74302,                0.70857,                0.46985,                 0.6289,                0.68333,                0.67545,                0.28762,                 1.2535,                 3.9256,                  1.636,                 1.3196,              0.0019731,              0.0019731,              0.0019731
                     71,                0.91157,                0.99555,                0.76133,                 1.0091,                0.66931,                0.70846,                0.76988,                0.53959,                0.68427,                    0.7,                0.71987,                0.35255,                 1.1701,                 3.8226,                  1.495,                 1.2118,              0.0019727,              0.0019727,              0.0019727
                     72,                0.89507,                 1.0261,                0.67744,                 1.0116,                0.78985,                0.62649,                0.76743,                0.51511,                0.78985,                0.62649,                0.73699,                0.36992,                 1.2325,                 3.8284,                 1.4583,                 1.2272,              0.0019723,              0.0019723,              0.0019723
                     73,                 0.9732,                 1.0508,                0.74647,                 1.0187,                 0.7991,                   0.55,                 0.7003,                0.48098,                0.80487,                0.54997,                0.67301,                0.37794,                 1.2339,                 3.8479,                 1.5658,                 1.2714,              0.0019719,              0.0019719,              0.0019719
