                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.73703,                 1.1327,                0.72957,                 1.0111,                0.78369,                0.83117,                0.83327,                0.39573,                 0.7897,                0.63399,                0.69472,                0.41024,                 1.6865,                 3.3459,                  1.653,                  1.757,              0.0014163,              0.0014163,              0.0014163
                     48,                0.69847,                 1.2898,                0.77334,                  1.007,                0.82083,                0.71397,                0.76853,                0.39617,                 0.8347,                 0.7214,                0.75312,                0.40015,                 1.7246,                 3.9522,                 1.5041,                 1.7734,               0.001416,               0.001416,               0.001416
                     49,                0.75264,                 1.2238,                0.75697,                 1.0435,                0.70219,                0.82682,                0.80193,                0.49436,                0.77225,                0.67532,                0.74233,                0.38032,                 1.3162,                 3.6042,                 1.3452,                 1.4573,              0.0014157,              0.0014157,              0.0014157
                     50,                0.64128,                 1.0626,                0.69538,                0.97262,                0.81705,                0.69605,                0.79883,                0.50127,                0.70655,                0.53247,                0.55402,                0.19875,                  1.319,                 4.6043,                 1.3326,                 1.4397,              0.0014154,              0.0014154,              0.0014154
                     51,                0.63601,                 1.0316,                0.70944,                0.97023,                0.74702,                0.69032,                0.78278,                 0.4647,                 0.6969,                0.50649,                0.54951,                0.23291,                 1.3573,                 4.4001,                 1.4267,                 1.4695,              0.0014151,              0.0014151,              0.0014151
                     52,                0.70905,                 1.0748,                 0.7422,                0.99475,                0.76936,                 0.7365,                0.82508,                 0.3911,                0.83903,                0.74465,                0.80922,                0.43955,                  1.665,                 2.8341,                 1.6066,                 1.7587,              0.0014149,              0.0014149,              0.0014149
                     53,                0.65552,                 1.0755,                0.67502,                 1.0121,                0.78516,                0.67532,                0.76774,                0.30799,                0.80196,                0.77922,                0.84857,                0.52615,                 1.9092,                 1.6745,                 1.7216,                   1.97,              0.0014146,              0.0014146,              0.0014146
                     54,                0.69554,                0.98224,                0.69479,                 1.0093,                0.82843,                0.75325,                0.76675,                0.28023,                0.80971,                0.85714,                0.84486,                0.49932,                 2.1832,                   2.01,                 2.1069,                   2.32,              0.0014143,              0.0014143,              0.0014143
                     55,                0.65514,                 1.1591,                0.71376,                0.98639,                0.87651,                0.72727,                0.76482,                0.28915,                0.84173,                0.89792,                 0.8721,                0.51298,                 2.3111,                 1.7921,                 2.0955,                  2.434,               0.001414,               0.001414,               0.001414
                     56,                0.59879,                 1.1193,                0.59741,                0.97406,                0.78102,                0.74026,                0.80587,                0.44298,                0.78102,                0.74026,                0.76837,                0.41585,                 1.7804,                  2.091,                 1.6417,                 1.8269,              0.0014137,              0.0014137,              0.0014137
                     57,                0.74981,                 1.0835,                0.78683,                 1.0636,                0.81673,                0.86818,                0.90126,                0.54168,                0.88645,                0.81112,                0.89083,                0.51925,                 1.5421,                 1.5656,                 1.3228,                 1.5509,              0.0014134,              0.0014134,              0.0014134
                     58,                0.71417,                 1.1132,                0.70598,                 1.0156,                0.87795,                0.93425,                0.92102,                0.64276,                0.91966,                0.87013,                0.91042,                0.67158,                 1.2872,                 1.3857,                 1.2783,                 1.4587,              0.0014132,              0.0014132,              0.0014132
